SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,E,3761,EQUITY,0,RITES,1,RITES,,,,1,NA,ES,EQ,RITES LIMITED
NSE,E,3766,EQUITY,0,WHEELS,1,Wheels,,,,5,NA,ES,EQ,WHEELS INDIA LTD
NSE,E,3772,EQUITY,0,WILLAMAGOR,1,Williamson Magor,,,,1,NA,ES,EQ,WILLIAMSON MAGOR
NSE,E,3776,EQUITY,0,IWEL,1,Inox Wind Energy,,,,50,NA,ES,EQ,INOX WIND ENERGY LIMITED
NSE,E,3787,EQUITY,0,WIPRO,1,Wipro,,,,1,NA,ES,EQ,WIPRO LTD
NSE,E,3799,EQUITY,0,WSTCSTPAPR,1,West Coast Paper Mills,,,,5,NA,ES,EQ,WEST COAST PAPER MILLS LT
NSE,E,380,EQUITY,0,BBTC,1,Bombay Burmah Trading,,,,10,NA,ES,EQ,BOMBAY BURMAH TRADING COR
NSE,E,381,EQUITY,0,SINTERCOM,1,Sintercom,,,,1,NA,ES,EQ,SINTERCOM INDIA LIMITED
NSE,E,3812,EQUITY,0,ZEEL,1,Zee Entertainment,,,,1,NA,ES,EQ,ZEE ENTERTAINMENT ENT LTD
NSE,E,3813,EQUITY,0,ARIHANTCAP,1,Arihant Capital Markets,,,,1,NA,ES,EQ,ARIHANT CAPITAL MKTS LTD
NSE,E,3821,EQUITY,0,ZODIACLOTH,1,Zodiac Clothing,,,,1,NA,ES,EQ,ZODIAC CLOTHING CO. LTD.
NSE,E,3827,EQUITY,0,ZUARIIND,1,Zuari Industries,,,,5,NA,ES,EQ,ZUARI INDUSTRIES LIMITED
NSE,E,383,EQUITY,0,BEL,1,Bharat Electronics,,,,5,NA,ES,EQ,BHARAT ELECTRONICS LTD
NSE,E,3834,EQUITY,0,BHARATRAS,1,Bharat Rasayan,,,,50,NA,ES,EQ,BHARAT RASAYAN LTD
NSE,E,3837,EQUITY,0,TOKYOPLAST,1,Tokyo Plast International,,,,1,NA,ES,EQ,TOKYO PLAST INTL LTD
NSE,E,385,EQUITY,0,MAHLOG,1,Mahindra Logistic,,,,5,NA,ES,EQ,MAHINDRA LOGISTIC LIMITED
NSE,E,3857,EQUITY,0,VARROC,1,Varroc Engineering,,,,5,NA,ES,EQ,VARROC ENGINEERING LTD.
NSE,E,3880,EQUITY,0,SOMANYCERA,1,Somany Ceramics,,,,5,NA,ES,EQ,SOMANY CERAMICS LIMITED
NSE,E,3892,EQUITY,0,HATSUN,1,Hatsun Agro Product,,,,5,NA,ES,EQ,HATSUN AGRO PRODUCT LTD.
NSE,E,3906,EQUITY,0,CAPLIPOINT,1,Caplin Point Laboratories,,,,10,NA,ES,EQ,CAPLIN POINT LAB LTD.
